# punto (e): cada fila es un punto de la figura va vs S
# los escalares se promedian desde t_stat (elegido a ojo) hasta el final de la corrida
# el error es el desvío entre realizaciones promediado en esa misma ventana
modelo rho eta t_stat S S_err va va_err
voter 4 2 3000 0.999243 0.000623765 0.0812023 0.00177669
voter 4 2.5 3000 0.999738 0.000232814 0.0667014 0.00190082
voter 4 3 3000 0.999746 0.000261423 0.0584244 0.000915321
voter 4 3.5 3000 0.999945 4.42011e-05 0.0531913 0.000622564
voter 4 4 3000 0.999982 1.54083e-05 0.0495073 0.000737443
voter 4 4.25 3000 0.999972 3.52027e-05 0.0475335 0.000637504
voter 4 4.5 3000 0.999975 3.06327e-05 0.0474297 0.000968734
voter 4 4.75 3000 0.999991 8.61351e-06 0.0463016 0.00069132
voter 4 5 3000 0.99998 2.33709e-05 0.0455009 0.000877543
voter 4 6 3000 0.999995 1.14086e-05 0.0450633 0.000851772
voter 8 0 3000 0.99975 0.000790569 0.999991 2.80089e-05
voter 8 0.1 3000 0.999597 0.000487332 0.789406 0.0369548
voter 8 0.15 3000 0.999472 0.000302016 0.608067 0.043909
voter 8 0.2 3000 0.999618 0.000266413 0.511993 0.0339028
voter 8 0.25 3000 0.999541 0.00030535 0.42476 0.0204906
voter 8 0.35 3000 0.999476 0.000447833 0.324045 0.0276569
voter 8 0.5 3000 0.999685 0.000185162 0.228064 0.0105883
voter 8 0.75 3000 0.999819 9.85512e-05 0.151468 0.00508599
voter 8 1 3000 0.999938 3.96155e-05 0.111769 0.00296294
voter 8 1.5 3000 0.999979 2.74637e-05 0.0739567 0.00117482
voter 8 2 3000 0.999999 1.46803e-06 0.0575798 0.00098817
voter 8 2.5 3000 1 1.12777e-06 0.0477041 0.000763807
voter 8 3 3000 0.999999 3.36762e-06 0.0416801 0.000731188
voter 8 3.5 3000 1 0 0.0376981 0.000877941
voter 8 4 3000 1 0 0.035004 0.000736111
voter 8 4.25 3000 1 0 0.0340634 0.000532653
voter 8 4.5 3000 1 0 0.0331554 0.000668087
voter 8 4.75 3000 1 0 0.0325883 0.000462251
voter 8 5 3000 1 0 0.0322304 0.000708663
voter 8 6 3000 1 0 0.0309571 0.000704008
