t build_seconds sweep_seconds
1 1.3917000000000001e-05 0.00015124999999999999
2 1.0958000000000001e-05 0.00010900000000000001
3 9.3749999999999992e-06 0.00010062500000000001
4 9.2080000000000006e-06 9.5249999999999998e-05
5 8.7919999999999998e-06 9.0583999999999999e-05
6 8.6670000000000002e-06 9.4291999999999998e-05
7 8.7499999999999992e-06 9.7125000000000003e-05
8 8.5830000000000007e-06 8.9291999999999998e-05
9 9.0000000000000002e-06 9.1374999999999998e-05
10 9.0000000000000002e-06 8.9624999999999997e-05
11 8.9169999999999995e-06 9.3375000000000006e-05
12 8.833e-06 9.1040999999999998e-05
13 9.0000000000000002e-06 9.5874999999999999e-05
14 8.8750000000000006e-06 9.4500000000000007e-05
15 1.0000000000000001e-05 9.5084e-05
16 8.7919999999999998e-06 9.1958000000000003e-05
17 8.7499999999999992e-06 9.3999999999999994e-05
18 8.5839999999999995e-06 9.3125e-05
19 8.7909999999999993e-06 9.3459000000000001e-05
20 8.7090000000000008e-06 9.1374999999999998e-05
21 8.8750000000000006e-06 9.5582999999999996e-05
22 8.7090000000000008e-06 9.1207999999999998e-05
23 8.7090000000000008e-06 9.2625000000000002e-05
24 8.7080000000000003e-06 9.4124999999999998e-05
25 8.833e-06 9.3833999999999996e-05
26 8.7499999999999992e-06 9.4084000000000002e-05
27 8.7080000000000003e-06 9.3542000000000007e-05
28 8.6670000000000002e-06 9.3624999999999999e-05
29 8.7499999999999992e-06 9.4875000000000002e-05
30 8.9160000000000007e-06 9.7e-05
31 8.9169999999999995e-06 9.5291999999999995e-05
32 8.7919999999999998e-06 9.4457999999999996e-05
33 8.7919999999999998e-06 9.7167e-05
34 8.9579999999999996e-06 9.9709000000000004e-05
35 8.9169999999999995e-06 0.000157458
36 9.1249999999999999e-06 0.00012870899999999999
37 1.8709e-05 0.00023145800000000001
38 1.8916999999999999e-05 0.00013429199999999999
39 1.9749999999999999e-05 0.00023295799999999999
40 1.9083e-05 0.00027620900000000002
41 2.4125e-05 0.00022491699999999999
42 1.925e-05 0.00023966699999999999
43 1.8624999999999999e-05 0.000222084
44 1.9375e-05 0.00025700000000000001
45 1.0166999999999999e-05 0.00021187499999999999
46 9.4169999999999998e-06 0.000125041
47 8.9160000000000007e-06 0.00027004200000000001
48 2.1416e-05 0.00024129199999999999
49 9.0420000000000008e-06 0.00020866600000000001
50 9.7920000000000004e-06 0.000117333
51 1.9042000000000002e-05 0.000173375
52 4.8915999999999997e-05 0.000119084
53 9.4159999999999993e-06 0.00014750000000000001
54 8.9169999999999995e-06 0.00016295799999999999
55 9.0829999999999993e-06 0.000121459
56 9.1249999999999999e-06 0.000114375
57 8.7919999999999998e-06 0.000109916
58 9.2089999999999994e-06 0.00010754100000000001
59 8.7499999999999992e-06 0.000106
60 8.7499999999999992e-06 0.00010220799999999999
61 8.7080000000000003e-06 0.000109875
62 8.5839999999999995e-06 0.000105875
63 8.9160000000000007e-06 0.00011062500000000001
64 9.0839999999999998e-06 0.000108416
65 8.7919999999999998e-06 0.000108291
66 9.1670000000000005e-06 0.000152084
67 9.7089999999999997e-06 0.000121709
68 8.7080000000000003e-06 0.0001145
69 8.6670000000000002e-06 0.00011383300000000001
70 8.6249999999999996e-06 0.00015508300000000001
71 8.7090000000000008e-06 0.00012620900000000001
72 8.5830000000000007e-06 0.00024004199999999999
73 8.6670000000000002e-06 0.000122583
74 8.6249999999999996e-06 0.00011900000000000001
75 8.5420000000000005e-06 0.00013799999999999999
76 8.9590000000000001e-06 0.000117166
77 8.3750000000000003e-06 0.00011675000000000001
78 8.9169999999999995e-06 0.000126959
79 8.5830000000000007e-06 0.000118
80 8.5830000000000007e-06 0.00011770800000000001
81 8.7080000000000003e-06 0.000158417
82 9.0000000000000002e-06 0.000173167
83 2.0208e-05 0.00027558299999999998
84 8.6659999999999997e-06 0.00012625000000000001
85 8.4169999999999992e-06 0.000164
86 8.7090000000000008e-06 0.00012266600000000001
87 8.541e-06 0.000118458
88 8.3329999999999997e-06 0.00011445799999999999
89 8.3329999999999997e-06 0.000109875
90 8.4169999999999992e-06 0.00010833299999999999
91 8.6249999999999996e-06 0.00011725
92 8.3750000000000003e-06 0.000120458
93 8.4169999999999992e-06 0.00012308299999999999
94 8.0830000000000004e-06 0.0001175
95 8.5420000000000005e-06 0.000120791
96 8.6249999999999996e-06 0.000116084
97 8.7090000000000008e-06 0.00012391600000000001
98 8.6249999999999996e-06 0.000124583
99 8.3750000000000003e-06 0.00012029200000000001
100 8.6670000000000002e-06 0.00012224999999999999
101 8.5420000000000005e-06 0.00012362500000000001
102 8.2500000000000006e-06 0.000117167
103 8.4169999999999992e-06 0.00012370799999999999
104 8.5420000000000005e-06 0.000121167
105 8.4160000000000004e-06 0.000119917
106 8.0830000000000004e-06 0.000121333
107 8.2910000000000007e-06 0.000119584
108 8.2919999999999996e-06 0.00012204199999999999
109 8.4169999999999992e-06 0.000120333
110 8.3750000000000003e-06 0.000121834
111 8.4169999999999992e-06 0.00012479099999999999
112 8.7080000000000003e-06 0.000121292
113 8.4999999999999999e-06 0.00012704200000000001
114 9.6670000000000008e-06 0.00013224999999999999
115 8.2919999999999996e-06 0.00012349999999999999
